MODE,CALL,QSO_COUNT_80m,QSO_COUNT_40m,POINT_80m,POINT_40m,MULT_80m,MULT_40m,SCORE,POWER,COUNTY,CHECKLOG
CW,ES1BH,52,65,98,126,29,37,14784,HIGH,TL,N
CW,ES2DF,17,63,34,124,12,40,8216,LOW,HR,N
CW,ES2MC,79,95,158,188,43,51,32524,HIGH,HR,N
CW,ES2RR,89,85,175,170,49,47,33120,HIGH,HR,N
CW,ES3BM,47,53,92,101,25,35,11580,LOW,RP,N
CW,ES3MAR,16,12,30,22,11,10,1092,LOW,RP,N
CW,ES3TI,44,67,88,128,32,38,15120,HIGH,RP,N
CW,ES4OJ,19,,35,,10,,350,LOW,LV,N
CW,ES4RD,27,92,52,181,20,49,16077,HIGH,IV,N
CW,ES5EP,47,63,94,125,32,37,15111,LOW,TA,N
CW,ES5JR,44,62,85,120,29,40,14145,LOW,TA,N
CW,ES5NY,57,73,111,146,35,45,20560,LOW,JG,N
CW,ES5QA,59,69,111,131,33,42,18150,HIGH,JG,N
CW,ES7A,43,92,83,181,29,50,20856,HIGH,VP,N
CW,ES7GM,97,107,188,199,50,52,39474,HIGH,VP,N
CW,LA1TV,71,91,138,176,38,48,27004,HIGH,VF,N
CW,LA6CDA,18,13,29,24,10,12,1166,LOW,VF,N
CW,LA6DW,2,18,4,31,2,12,490,LOW,HO,N
CW,LA6XI,7,8,10,16,4,7,286,HIGH,VF,N
CW,LA7AK,25,79,49,156,15,47,12710,HIGH,RL,N
CW,LA8OM,13,,25,,10,,250,HIGH,RL,N
CW,LC2L,,34,,68,,26,1768,LOW,OS,N
CW,LY0NAS,30,28,58,55,22,22,4972,LOW,PA,N
CW,LY1CT,43,90,85,174,25,46,18389,LOW,KD,N
CW,LY1DZ,7,,14,,5,,70,LOW,VV,N
CW,LY1LB,12,48,23,82,9,31,4200,LOW,KN,N
CW,LY2A,54,96,108,188,33,49,24272,HIGH,MM,N
CW,LY2AT,40,32,72,60,22,26,6336,LOW,MM,N
CW,LY2AX,52,64,93,120,26,39,13845,HIGH,KN,N
CW,LY2BAA,6,,12,,6,,72,LOW,PN,N
CW,LY2BKT,61,95,121,186,34,46,24560,LOW,SI,N
CW,LY2CX,75,85,143,164,40,46,26402,HIGH,KI,N
CW,LY2F,64,96,125,189,35,49,26376,HIGH,KN,N
CW,LY2K,50,75,96,145,30,43,17593,LOW,AT,N
CW,LY2MC,32,60,64,116,22,39,10980,LOW,TI,N
CW,LY2MM,53,93,105,186,34,51,24735,LOW,KM,N
CW,LY2N,16,32,32,64,9,24,3168,LOW,KM,N
CW,LY2TS,61,75,121,145,40,44,22344,LOW,TI,N
CW,LY3B,63,75,124,145,41,45,23134,HIGH,PA,N
CW,LY3NX,61,67,118,131,36,44,19920,LOW,UT,N
CW,LY4BF,27,72,54,142,17,42,11564,LOW,VU,N
CW,LY4K,27,93,53,182,19,48,15745,LOW,KM,N
CW,LY4L,53,79,103,153,31,44,19200,LOW,KN,N
CW,LY5O,68,98,136,196,38,50,29216,HIGH,KM,N
